Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom to make life choices,Trust (Government Corruption),Generosity,Dystopia Residual,Year,Social support,Perceptions of corruption,Logged GDP per capita,Healthy life expectancy,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Dystopia (1.83) + residual,Explained by: GDP per capita
Nigeria,89,39.67,3.58,2.77,0.56,3.4,0.1,1.22,8.14,16148,3.76,1.81,17.11,99.96,4.4,1.31,2.34,0.52,1.31,0.61,0.12,4.96,1.78,1.08
Jordan,90,39.08,4.55,3.16,3.37,3.54,0.4,0.34,5.87,16148,4.06,1.67,18.21,133.8,4.4,1.68,2.55,2.04,1.36,0.23,0.5,2.82,0.7,1.32
Bulgaria,91,38.83,5.43,3.47,3.68,3.01,0.03,0.27,3.05,16148,4.9,1.88,19.89,133.8,4.4,2.23,3.68,2.0,1.47,0.35,0.03,3.12,1.24,1.62
Albania,92,38.76,4.69,2.11,3.94,3.43,0.16,0.77,5.32,16148,3.03,1.86,18.94,137.71,4.4,1.91,2.01,2.21,1.46,0.48,0.08,3.89,1.72,1.44
Cameroon,93,38.75,2.6,2.46,1.01,3.68,0.17,1.06,6.8,16148,3.21,1.78,16.31,106.22,4.4,1.05,2.13,0.75,1.26,0.56,0.19,5.91,2.47,0.97
South Africa,94,38.34,4.9,3.53,1.45,3.65,0.25,0.45,4.87,16148,4.47,1.81,18.81,113.41,4.4,1.87,3.24,1.03,1.32,0.36,0.16,3.81,1.74,1.42
Lebanon,95,38.06,5.18,2.57,3.94,2.69,0.11,0.97,5.34,16148,4.08,1.96,18.99,134.46,4.4,1.93,2.56,2.01,0.46,0.38,0.08,3.27,0.22,1.39
Bangladesh,96,37.91,2.62,1.41,2.97,4.17,0.38,0.82,7.11,16148,3.16,1.63,16.74,129.3,4.4,1.19,2.0,1.79,1.83,0.46,0.53,4.18,1.97,1.06
Ghana,97,37.79,3.05,2.05,1.82,3.74,0.1,1.37,6.09,16148,3.22,1.76,16.93,114.79,4.4,1.26,2.16,1.13,1.49,0.76,0.17,5.06,1.97,1.11
Iran,98,37.73,5.44,1.64,3.46,2.79,0.16,2.04,5.19,16148,3.02,1.68,19.4,132.31,4.4,2.06,2.18,1.95,0.86,0.85,0.43,3.11,1.43,1.41
Armenia,99,37.32,4.2,2.41,3.49,2.62,0.1,0.11,5.26,16148,3.6,1.49,18.59,133.81,4.4,1.8,2.61,2.03,1.48,0.24,0.51,3.6,1.65,1.43
Palestinian Territories,100,37.24,3.28,2.8,3.07,2.47,0.32,0.2,6.33,16148,4.12,1.79,16.87,124.5,4.4,1.23,2.97,1.57,0.96,0.25,0.23,3.82,1.37,1.15
Iraq,101,37.22,5.22,2.39,2.72,2.35,0.38,0.75,5.09,16148,3.44,1.88,18.9,120.49,4.4,1.89,2.33,1.46,0.91,0.45,0.16,4.18,1.89,1.29
Tunisia,102,37.15,4.69,1.9,3.45,2.48,0.23,-0.17,6.7,16148,3.29,1.86,18.58,134.1,4.4,1.79,1.98,2.03,0.89,0.14,0.12,3.67,1.54,1.35
Ivory Coast,103,37.14,2.73,2.25,0.56,3.61,0.46,0.85,5.24,16148,2.98,1.78,16.78,99.62,4.4,1.21,1.65,0.53,1.29,0.5,0.31,6.55,2.65,1.09
Senegal,104,37.13,2.17,2.93,2.25,3.14,0.34,0.78,5.21,16148,3.68,1.76,16.24,119.4,4.4,1.02,2.04,1.32,1.23,0.47,0.25,5.48,2.42,0.93
Gabon,105,36.68,5.51,2.78,2.11,3.0,0.28,-0.17,3.78,16148,3.91,1.8,19.28,119.68,4.4,2.03,2.55,1.28,1.14,0.14,0.22,3.94,1.89,1.46
Georgia,106,36.23,4.27,1.15,3.41,3.35,0.95,-0.21,4.97,16148,2.56,1.7,18.81,128.8,4.4,1.88,1.81,1.79,1.48,0.08,0.56,3.88,1.58,1.47
Ukraine,107,36.06,4.18,3.61,3.18,2.23,0.07,0.96,3.89,16148,4.57,1.87,18.45,129.51,4.4,1.76,3.36,1.8,1.21,0.55,0.04,3.07,1.33,1.41
Kenya,108,35.98,2.45,2.83,2.06,3.82,0.19,2.54,5.32,16148,3.42,1.76,16.39,120.8,4.4,1.08,2.02,1.32,1.44,1.09,0.22,3.86,1.66,1.03
Niger,109,35.51,0.63,2.37,1.41,3.49,0.47,1.03,5.85,16148,2.9,1.62,13.94,107.28,4.4,0.27,1.67,0.79,1.52,0.57,0.44,6.49,2.67,0.57
Cambodia,110,35.35,2.74,2.17,2.56,5.11,0.22,1.77,3.34,16148,3.75,1.79,16.61,123.53,4.4,1.15,2.48,1.52,2.12,0.61,0.2,3.81,1.41,1.02
Myanmar,111,35.04,2.37,2.53,2.26,4.26,0.58,4.69,4.04,16148,3.92,1.66,17.22,118.26,4.4,1.34,2.64,1.33,1.71,1.54,0.56,2.09,0.88,1.04
Mali,112,35.03,1.8,3.18,1.0,3.07,0.36,0.79,5.57,16148,3.79,1.77,15.37,103.7,4.4,0.74,2.05,0.66,1.11,0.46,0.18,5.58,2.37,0.79
Sri Lanka,113,34.98,4.69,3.13,3.46,4.34,0.25,2.08,2.01,16148,4.23,1.82,18.86,134.5,4.4,1.89,2.95,2.05,1.62,0.64,0.18,1.69,0.6,1.42
Ethiopia,114,34.82,1.47,1.85,2.06,3.5,0.49,1.41,7.12,16148,3.49,1.76,15.2,117.64,4.4,0.69,2.49,1.27,1.34,0.67,0.37,3.72,1.38,0.79
Burkina Faso,115,34.64,1.57,2.53,1.33,2.98,0.37,1.04,5.07,16148,3.54,1.73,15.15,108.04,4.4,0.67,1.97,0.81,1.09,0.55,0.37,5.72,2.31,0.78
Egypt,116,34.6,4.62,2.24,2.86,2.65,0.28,0.16,5.27,16148,3.55,1.76,18.68,123.78,4.4,1.83,2.36,1.57,1.29,0.18,0.44,2.81,0.86,1.39
Mauritania,117,34.53,2.84,2.98,1.71,1.77,0.49,0.68,5.7,16148,4.0,1.66,16.78,114.17,4.4,1.21,2.73,1.15,0.71,0.34,0.39,3.93,1.21,1.1
Zambia,118,34.51,2.86,2.56,1.51,3.9,0.32,1.23,7.05,16148,3.51,1.79,16.37,111.11,4.4,1.06,2.03,0.9,1.5,0.68,0.24,3.11,1.14,0.93
Benin,119,34.39,1.88,0.89,1.38,3.59,0.21,0.89,5.63,16148,1.77,1.55,15.76,109.03,4.4,0.87,0.47,0.86,1.34,0.49,0.53,6.92,2.46,0.93
Laos,120,34.23,2.76,1.29,1.92,4.11,0.47,1.58,3.82,14131,3.53,1.63,17.75,117.68,4.4,1.52,2.24,1.3,1.93,0.74,0.56,3.83,1.71,1.24
Sierra Leone,121,34.15,1.59,2.57,0.25,3.13,0.24,1.41,8.19,16148,2.92,1.83,14.7,102.52,4.4,0.52,1.54,0.58,1.18,0.7,0.15,4.44,1.56,0.69
Guinea,122,34.09,1.37,1.57,1.21,3.17,0.35,1.41,5.7,16148,2.9,1.71,15.59,109.48,4.4,0.81,1.72,0.81,1.09,0.71,0.34,5.96,2.54,0.85
North Cyprus,123,33.81,3.87,3.07,2.6,2.99,0.46,0.8,5.08,12111,1.64,1.25,20.98,147.6,4.4,2.59,2.88,2.65,1.5,0.53,0.61,2.89,1.08,1.82
Uganda,124,33.77,1.59,3.17,1.43,3.58,0.19,1.62,4.47,16148,3.7,1.81,15.18,111.81,4.4,0.68,2.65,1.04,1.2,0.75,0.18,4.55,1.84,0.78
Liberia,125,33.5,0.45,2.17,1.51,3.13,0.15,1.28,6.68,16148,3.21,1.77,14.34,112.59,4.4,0.4,2.17,0.95,1.24,0.63,0.19,5.24,2.84,0.64
Chad,126,33.05,1.91,2.35,0.47,2.05,0.16,1.02,6.32,16148,2.92,1.75,14.83,96.7,4.4,0.56,1.6,0.33,0.65,0.61,0.25,5.96,2.42,0.66
Mozambique,127,32.87,0.72,1.9,0.76,3.59,0.34,1.04,5.41,14132,3.36,1.66,14.23,108.91,4.4,0.36,2.25,0.71,1.76,0.63,0.53,5.0,2.64,0.58
India,128,32.66,3.65,1.43,2.49,4.08,0.26,1.27,5.97,16148,2.71,1.72,17.6,120.85,4.4,1.47,1.34,1.39,1.85,0.68,0.33,2.14,0.8,1.17
Congo (Brazzaville),129,32.42,3.61,1.97,1.73,3.53,0.29,0.37,5.51,14126,2.89,1.67,16.65,116.15,4.4,1.15,1.15,0.77,0.77,0.26,0.24,6.2,0.0,0.0
Qatar,130,32.11,8.72,3.23,3.84,3.02,1.44,1.46,4.28,10085,2.62,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
